1.7283274,-0.4273580,11.2757858
1.9277320,-0.4319930,11.3243898
2.1274302,-0.4363673,11.3723991
2.3271891,-0.4404889,11.4198246
2.5267374,-0.4443626,11.4666764
2.7265044,-0.4480046,11.5129647
2.9261546,-0.4514147,11.5586990
3.1258150,-0.4545998,11.6038889
3.3255869,-0.4575649,11.6485438
3.5252106,-0.4603091,11.6926724
3.7249243,-0.4628385,11.7362837
3.9246246,-0.4651543,11.7793862
4.1243249,-0.4672601,11.8219882
4.3240237,-0.4691602,11.8640978
4.5237260,-0.4708600,11.9057231
4.7234556,-0.4723667,11.9468716
4.9230771,-0.4736887,11.7316475
5.1228695,-0.4748389,11.4887471
5.3225644,-0.4758301,11.2412482
5.5222091,-0.4766797,10.9887538
5.7220117,-0.4774090,10.7307545
5.9216304,-0.4780411,10.4668327
6.1213652,-0.4786052,10.1964176
6.3211236,-0.4791335,9.9190337
6.5206575,-0.4796622,9.6379035
6.7204992,-0.4802342,9.3527195
6.9201938,-0.4808944,9.0629532
7.1197331,-0.4816930,8.7679758
7.3195847,-0.4826868,8.4670980
7.5192220,-0.4839321,8.1593567
7.7188366,-0.4854910,7.8436153
7.9185990,-0.4874165,7.5146190
8.1182166,-0.4896778,7.1705168
8.3178776,-0.4920554,6.8136096
8.5176015,-0.4940554,6.4568402
8.7172472,-0.4951155,6.0960058
8.9169421,-0.4946730,5.7247850
9.1166363,-0.4922014,5.3358405
9.3162363,-0.4872097,4.9249889
9.5157736,-0.4789706,4.4963826
9.7153226,-0.4659381,4.1016365
9.9135183,-0.4438311,3.7772241
10.1091562,-0.4049632,3.6210143
10.2962590,-0.3396127,3.5692553
10.4705805,-0.2415489,3.5550472
10.6226365,-0.1139135,3.5407821
10.7523672,0.0398873,3.5964790
10.8564349,0.2102925,3.7072642
10.9377981,0.3982379,3.8181302
10.9927152,0.5924478,3.6692439
11.0214023,0.7849351,3.5336087
11.0373791,0.9766369,3.2296493
11.0464282,1.1761827,3.0003204
11.0169325,1.3771884,2.9457568
10.9405081,1.5598664,2.9340307
10.8181192,1.7149971,2.9222575
10.6636019,1.8456072,3.1369865
10.5028723,1.9635552,3.4465399
10.3507853,2.0944030,3.7283064
10.2223468,2.2465482,3.7150180
10.1202698,2.4191854,3.7001110
10.0431642,2.6030739,3.8277546
9.9861217,2.7936590,4.0284647
9.9462131,2.9893208,4.2430959
9.9214773,3.1869498,4.4591958
9.9098996,3.3862788,4.6735360
9.9098682,3.5854579,4.8768609
9.9198211,3.7846462,5.0705081
9.9383131,3.9840897,5.2555595
9.9635357,4.1815309,5.4329047
9.9940051,4.3788522,5.6032866
10.0280363,4.5764249,5.7673327
10.0634175,4.7722564,5.9255796
10.0987076,4.9690333,6.0784900
10.1319014,5.1661791,6.2264667
10.1611135,5.3634914,6.3698626
10.1847432,5.5621123,6.3938788
10.2009984,5.7609811,6.2670839
10.2083950,5.9606016,6.1704281
10.2055689,6.1604053,6.1018197
10.1914087,6.3595719,6.0520746
10.1650565,6.5576987,6.0190133
10.1259798,6.7537729,5.9913592
10.0738191,6.9474410,5.9637226
10.0094464,7.1353762,5.9399829
9.9311412,7.3218662,5.9161479
9.8415021,7.5008446,5.9069214
9.7427307,7.6705776,5.9139420
9.6321407,7.8395348,5.9688810
9.5193831,8.0032310,5.7251254
9.4109897,8.1661625,5.4291301
9.3003006,8.3276786,5.3527132
9.1757854,8.4850666,5.3314057
9.0354738,8.6341921,5.3100127
8.8893321,8.7657566,5.2966630
8.7286877,8.8884997,5.3038043
8.5607052,8.9964020,5.3047303
8.3834774,9.0907397,5.3036981
8.2001431,9.1696351,5.2972086
8.0097754,9.2333999,5.2880472
7.8173895,9.2807555,5.2874572
7.6190439,9.3131557,5.2938559
7.4211201,9.3309126,5.3406707
7.2216534,9.3368812,5.4453322
7.0219721,9.3344535,5.6152405
6.8226494,9.3268637,5.7788544
6.6229581,9.3165597,5.9367045
6.4236747,9.3046884,6.0892488
6.2245935,9.2918014,6.2368861
6.0251533,9.2781046,6.3799663
5.8260932,9.2638672,6.5187985
5.6269695,9.2492727,6.6536573
5.4277327,9.2345260,6.7847881
5.2287144,9.2198582,6.9124113
5.0295058,9.2054319,7.0367257
4.8302912,9.1914134,7.1579117
4.6311621,9.1778511,7.2761332
4.4318638,9.1646882,7.3915398
4.2326072,9.1518667,7.5042688
4.0333457,9.1393057,7.6144462
3.8340415,9.1269244,7.7221881
3.6347766,9.1146480,7.8276021
3.4353993,9.1023946,7.9307875
3.2361963,9.0901337,8.0318369
3.0368685,9.0778665,8.1308363
2.8374664,9.0656266,8.2278659
2.6382232,9.0534529,8.3230009
2.4388624,9.0413547,8.4163115
2.2394937,9.0293650,8.5078637
2.0401957,9.0175135,8.5977194
1.8408016,9.0058154,8.6859372
1.6414387,8.9943030,8.7725719
1.4420797,8.9829992,8.8576756
1.2426508,8.9719240,8.9412974
1.0432659,8.9611077,9.0234839
0.8438458,8.9505698,9.1042791
0.6443841,8.9403337,9.1837250
0.4449499,8.9304264,9.2618612
0.2454731,8.9208677,9.3387258
0.0459843,8.9116824,9.4143547
-0.1535246,8.9028934,9.4887824
-0.3530497,8.8945240,9.5620416
-0.5525856,8.8865975,9.6341636
-0.7521618,8.8791360,9.7051785
-0.9517239,8.8721645,9.7751149
-1.1513253,8.8657043,9.8440003
-1.3509540,8.8597790,9.9118610
-1.5505395,8.8544139,9.9787222
-1.7502176,8.8496287,10.0446082
-1.9498813,8.8454496,10.1095422
-2.1494824,8.8419005,10.1735468
-2.3492309,8.8390016,10.2366433
-2.5489092,8.8367801,10.2988525
-2.7485513,8.8352588,10.3601945
-2.9483176,8.8344609,10.4206883
-3.1479874,8.8344113,10.4803527
-3.3476572,8.8351337,10.5392055
-3.5474122,8.8366532,10.5972640
-3.7470471,8.8389925,10.6545450
-3.9467189,8.8421777,10.7110645
-4.1464272,8.8462346,10.7668382
-4.3459972,8.8511817,10.8218812
-4.5456334,8.8570498,10.8762081
-4.7452673,8.8638710,10.9298331
-4.9447183,8.8716215,10.9827700
-5.1442559,8.8802442,11.0350319
-5.3437202,8.8896216,11.0866319
-5.5431038,8.8996424,11.1375824
-5.7425214,8.9102056,11.1878956
-5.9418775,8.9211982,11.2375833
-6.1412506,8.9325175,11.2866569
-6.3405807,8.9440546,11.3351275
-6.5398701,8.9557061,11.3830060
-6.7392876,8.9673811,11.4303029
-6.9385655,8.9789661,11.4770284
-7.1378413,8.9903755,11.3904629
-7.3373833,9.0015351,11.1529736
-7.5366048,9.0123280,10.9156415
-7.7359348,9.0227002,10.6777346
-7.9357149,9.0325965,10.4385314
-8.1347834,9.0418965,10.1971118
-8.3342863,9.0505991,9.9526815
-8.5340862,9.0586470,9.7044672
-8.7330939,9.0659596,9.4508244
-8.9329441,9.0725784,9.1901801
-9.1323978,9.0786014,8.9167056
-9.3320323,9.0844356,8.6147933
-9.5321519,9.0902000,8.3066145
-9.7315960,9.0957403,7.9971077
-9.9314748,9.1008879,7.6844460
-10.1311661,9.1054200,7.3656223
-10.3310447,9.1091536,7.0462958
-10.5305513,9.1116912,6.7300349
-10.7306987,9.1122931,6.4602928
-10.9301269,9.1091332,6.2430605
-11.1298796,9.0999585,6.0767934
-11.3290292,9.0825771,5.9530332
-11.5261020,9.0552811,5.8687498
-11.7228672,9.0161767,5.8053151
-11.9157337,8.9647659,5.7601281
-12.1041885,8.9004920,5.7256792
-12.2891773,8.8223794,5.6912080
-12.4669904,8.7317205,5.6556555
-12.6366563,8.6293025,5.6174687
-12.8008167,8.5135524,5.5699976
-12.9555455,8.3872545,5.5182064
-13.1000576,8.2505591,5.4962401
-13.2332913,8.1030091,5.4741857
-13.3552809,7.9450048,5.4566728
-13.4669794,7.7803965,5.5519900
-13.5693802,7.6103156,5.6657461
-13.6622567,7.4329305,5.7258674
-13.7437875,7.2491772,5.7524223
-13.8127545,7.0622216,5.7722796
-13.8705010,6.8708295,5.8158735
-13.9175361,6.6765284,5.8816760
-13.9549125,6.4804727,5.9754703
-13.9839825,6.2829466,6.0981138
-14.0063399,6.0844011,6.2454722
-14.0239459,5.8856293,6.3882930
-14.0393332,5.6866621,6.5268829
-14.0553821,5.4873847,6.6615146
-14.0744264,5.2889988,6.7924320
-14.0971256,5.0913169,6.9198542
-14.1233760,4.8921519,7.0439787
-14.1515776,4.6961144,7.1649850
-14.1816159,4.4978623,7.2830359
-14.2120710,4.3005241,7.3982805
-14.2419039,4.1030080,7.5108551
-14.2699668,3.9047052,7.5111505
-14.2948512,3.7068638,7.3145833
-14.3155440,3.5077345,7.1507023
-14.3306694,3.3087683,7.0181893
-14.3391137,3.1090418,6.9160451
-14.3397318,2.9092853,6.8383141
-14.3315872,2.7095427,6.7806927
-14.3139697,2.5106667,6.7386927
-14.2862468,2.3123079,6.7038349
-14.2484658,2.1169536,6.6771491
-14.1997403,1.9217138,6.6503561
-14.1412685,1.7315266,6.6285261
-14.0720950,1.5430375,6.6079677
-13.9930734,1.3582766,6.5997485
-13.9066887,1.1809910,6.6101036
-13.8108617,1.0040740,6.5484595
-13.7107243,0.8309178,6.3481639
-13.6112082,0.6603034,5.9524340
-13.5118437,0.4894836,5.6607313
-13.4074792,0.3200774,5.5297736
-13.2927874,0.1558672,5.5028303
-13.1656122,0.0006957,5.4809252
-13.0283106,-0.1421560,5.4589323
-12.8791053,-0.2751318,5.4534514
-12.7192699,-0.3971261,5.4590993
-12.5525790,-0.5056976,5.4685744
-12.3775837,-0.6022257,5.4841507
-12.1954906,-0.6861425,5.5044817
-12.0092434,-0.7565395,5.5277074
-11.8179006,-0.8144067,5.5647616
-11.6233437,-0.8598442,5.6153550
-11.4266340,-0.8936134,5.6845685
-11.2280948,-0.9168920,5.7799046
-11.0289343,-0.9309664,5.9020419
-10.8292053,-0.9375100,6.0557308
-10.6295635,-0.9381803,6.2044285
-10.4297874,-0.9345687,6.3484951
-10.2303141,-0.9277463,6.4882480
-10.0308111,-0.9184088,6.6239691
-9.8314200,-0.9069028,6.7559098
-9.6322834,-0.8934814,6.8842958
-9.4330499,-0.8783212,7.0093306
-9.2340807,-0.8616548,7.1311982
-9.0352190,-0.8436799,7.2500662
-8.8363671,-0.8245975,7.3660871
-8.6377622,-0.8046441,7.4794008
-8.4390627,-0.7840009,7.5901358
-8.2404632,-0.7629046,7.6984103
-8.0420340,-0.7415812,7.8043335
-7.8433385,-0.7202032,7.9080068
-7.6448052,-0.6990361,8.0095240
-7.4462313,-0.6782774,8.1089726
-7.2474452,-0.6581249,8.2064340
-7.0487923,-0.6387912,8.3019845
-6.8498916,-0.6203377,8.3956953
-6.6509022,-0.6027364,8.4876334
-6.4521035,-0.5859048,8.5778616
-6.2529387,-0.5696754,8.6664391
-6.0538807,-0.5540200,8.7534216
-5.8549083,-0.5389176,8.8388618
-5.6556118,-0.5243541,8.9228093
-5.4564253,-0.5103682,9.0053114
-5.2572757,-0.4969597,9.0864126
-5.0579021,-0.4841203,9.1661553
-4.8586111,-0.4718781,9.2445797
-4.6593139,-0.4602355,9.3217242
-4.4598638,-0.4491938,9.3976251
-4.2604697,-0.4387741,9.4723173
-4.0610499,-0.4289820,9.5458338
-3.8615292,-0.4198246,9.6182064
-3.6620397,-0.4113195,9.6894652
-3.4625181,-0.4034755,9.7596392
-3.2629372,-0.3963041,9.8287562
-3.0633648,-0.3898209,9.8968428
-2.8637607,-0.3840381,9.9639243
-2.6641348,-0.3789704,10.0300254
-2.4644963,-0.3746332,10.0951694
-2.2648303,-0.3710418,10.1593789
-2.0651787,-0.3682134,10.2226757
-1.8654949,-0.3661645,10.2850807
-1.6657917,-0.3649132,10.3466140
-1.4661383,-0.3644768,10.4072950
-1.2664339,-0.3648622,10.4671425
-1.0667255,-0.3660497,10.5261744
-0.8670962,-0.3679805,10.5844083
-0.6673945,-0.3705855,10.6418609
-0.4677112,-0.3737888,10.6985485
-0.2681186,-0.3775144,10.7544869
-0.0684234,-0.3816918,10.8096913
0.1312173,-0.3862440,10.8641764
0.3307814,-0.3910964,10.9179564
0.5304871,-0.3961808,10.9710453
0.7300737,-0.4014170,11.0234564
0.9296331,-0.4067339,11.0752026
1.1293826,-0.4120638,11.1262966
1.3289024,-0.4173221,11.1767506
1.5284839,-0.4224430,11.2265765
1.7283274,-0.4273580,11.2757858
