s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
14.5935108,5.2275041,2.8753000,1.6598952,0.0936851,3.0000000,0.0000000
14.7934219,5.0306850,2.8563383,1.6695484,-0.0230496,3.0000000,0.0000000
14.9933330,4.8325194,2.8380305,1.6521976,-0.1468426,3.0000000,0.0000000
15.1932441,4.6316941,2.8252626,1.6136582,-0.2279828,3.0000000,0.0000000
15.3931552,4.4312267,2.8216238,1.5624819,-0.2805455,3.0000000,0.0000000
15.5930663,4.2324947,2.8291062,1.5024848,-0.3222545,3.0000000,0.0000000
15.7929774,4.0326222,2.8495871,1.4336164,-0.3583191,3.0000000,0.0000000
15.9928885,3.8354035,2.8842227,1.3594562,-0.3829841,3.0000000,0.0000000
16.1927996,3.6424319,2.9332608,1.2863625,-0.3344665,3.0000000,0.0000000
16.3927107,3.4515327,2.9956316,1.2259062,-0.2631507,3.0000000,0.0000000
16.5926218,3.2658853,3.0671410,1.1836316,-0.1638766,3.0000000,0.0000000
16.7925329,3.0813744,3.1452466,1.1605564,-0.0590144,3.0000000,0.0000000
16.9924440,2.8978698,3.2255051,1.1601968,0.0536358,3.0000000,0.0000000
17.1923551,2.7135133,3.3038031,1.1817700,0.1620883,3.0000000,0.0000000
17.3922662,2.5268543,3.3760168,1.2252410,0.2730780,3.0000000,0.0000000
17.5921773,2.3363113,3.4381261,1.2891044,0.3634495,3.0000000,0.0000000
17.7920884,2.1425619,3.4860011,1.3711707,0.4543295,3.0000000,0.0000000
17.9919996,1.9444743,3.5163942,1.4678808,0.5126651,3.0000000,0.0000000
18.1919107,1.7448878,3.5262890,1.5762794,0.5585597,3.0000000,0.0000000
18.3918218,1.5454771,3.5139223,1.6899832,0.5824915,3.0000000,0.0000000
18.5917329,1.3475608,3.4782188,1.8084924,0.5858010,3.0000000,0.0000000
18.7916440,1.1582360,3.4204903,1.9256304,0.6026882,3.0000000,0.0000000
18.9915551,0.9723625,3.3384660,2.0470629,0.6011071,3.0000000,0.0000000
19.1914662,0.7992279,3.2350983,2.1719975,0.6302152,3.0000000,0.0000000
19.3913773,0.6435311,3.1130090,2.3013341,0.6666067,3.0000000,0.0000000
19.5912884,0.5046396,2.9725163,2.4138179,0.4075731,3.0000000,0.0000000
19.7911995,0.3769635,2.8235951,2.4327100,0.0194991,3.0000000,0.0000000
19.9911106,0.2515006,2.6702928,2.4933522,0.4734751,3.0000000,0.0000000
20.1910217,0.1382201,2.5030333,2.6032228,0.5899077,3.0000000,0.0000000
20.3909328,0.0461028,2.3250156,2.7268907,0.6482346,3.0000000,0.0000000
20.5908439,-0.0219786,2.1381336,2.8580740,0.6706884,3.0000000,0.0000000
20.7907550,-0.0647555,1.9416706,2.9975466,0.7041893,3.0000000,0.0000000
20.9906661,-0.0792811,1.7417138,-3.1413009,0.7421968,3.0000000,0.0000000
21.1905773,-0.0644007,1.5424980,-2.9928708,0.7438988,3.0000000,0.0000000
21.3904884,-0.0199427,1.3473031,-2.8422662,0.7447983,3.0000000,0.0000000
21.5903995,0.0527660,1.1614810,-2.6953879,0.7328111,3.0000000,0.0000000
21.7903106,0.1523286,0.9870115,-2.5523906,0.6877234,3.0000000,0.0000000
21.9902217,0.2746755,0.8284231,-2.4182926,0.6313755,3.0000000,0.0000000
22.1901328,0.4142521,0.6880448,-2.3029971,0.5354217,3.0000000,0.0000000
