time_s,x_m,y_m,nearest_index,error_m
0.00018247000116389245,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.0007658929971512407,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.0018733510005404241,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.0023900029991636984,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.004659359001379926,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.005262394995952491,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.006553884995810222,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.007155437997425906,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.008403064995945897,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.009445158000744414,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.009874470000795554,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.010992063995217904,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.012114637000195216,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.01320503199531231,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.014285696001024917,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.015356238996901084,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.01579237699479563,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.01685057899885578,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.017894147997139953,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.018271861001267098,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.019289295996713918,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.020434195997950155,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.021586793998721987,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.02270726199640194,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.02313472199602984,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.024244002997875214,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.02532822099601617,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.026460410001163837,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.02753882399701979,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.02863793099822942,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.02968523399613332,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
0.03082076399732614,0.29850000000000504,0.5926000000000632,0,2.999999997746361e-05
